user_id,bot_name,total_messages,first_message_time,last_message_time,usage_span_days
38410475,Hook_Generator_Bot,2,2025-09-30 03:12:51.510729,2025-09-30 03:12:54.824741,0
38460425,Hook_Generator_Bot,2,2025-10-01 07:27:52.440597,2025-10-01 07:27:55.083170,0
38504273,Hook_Generator_Bot,2,2025-10-02 23:21:49.624674,2025-10-02 23:21:52.525847,0
39182835,Hook_Generator_Bot,2,2025-10-25 03:28:07.981439,2025-10-25 03:28:11.378885,0
39256451,Hook_Generator_Bot,2,2025-10-27 05:46:25.552472,2025-10-27 05:46:28.619467,0
38988493,myshell_thumbmaker_bot,2,2025-10-19 23:46:34.689916,2025-10-19 23:46:49.829218,0
36880251,myshell_thumbmaker_bot,2,2025-10-28 12:53:24.146709,2025-10-28 12:53:28.200718,0
39159831,myshell_thumbmaker_bot,2,2025-10-28 13:43:44.202258,2025-10-28 13:43:49.483898,0
38527922,BRoll_Generator_Bot,2,2025-10-04 01:32:33.468691,2025-10-04 01:32:37.573018,0
39230842,xPostGenerator_Bot,2,2025-10-26 11:06:00.675914,2025-10-26 11:06:05.340528,0
330325,myshell_thumbmaker_bot,1,2025-09-24 22:11:01.150479,2025-09-24 22:11:01.150479,0
